no,kota,kode_wilayah,provinsi
91,Kabupaten Boven Digoel,93.02,Papua Selatan
92,Kabupaten Boyolali,33.09,Jawa Tengah
93,Kabupaten Brebes,33.29,Jawa Tengah
94,Kota Bukittinggi,13.75,Sumatera Barat
95,Kabupaten Buleleng,51.08,Bali
96,Kabupaten Bulukumba,73.02,Sulawesi Selatan
97,Kabupaten Bulungan,65.01,Kalimantan Utara
98,Kabupaten Bungo,15.08,Jambi
99,Kabupaten Buol,72.05,Sulawesi Tengah
100,Kabupaten Buru,81.04,Maluku
101,Kabupaten Buru Selatan,81.09,Maluku
102,Kabupaten Buton,74.04,Sulawesi Tenggara
103,Kabupaten Buton Selatan,74.15,Sulawesi Tenggara
104,Kabupaten Buton Tengah,74.14,Sulawesi Tenggara
105,Kabupaten Buton Utara,74.10,Sulawesi Tenggara
106,Kabupaten Ciamis,32.07,Jawa Barat
107,Kabupaten Cianjur,32.03,Jawa Barat
108,Kabupaten Cilacap,33.01,Jawa Tengah
109,Kota Cilegon,36.72,Banten
110,Kota Cimahi,32.77,Jawa Barat
111,Kota Cirebon,32.74,Jawa Barat
112,Kabupaten Cirebon,32.09,Jawa Barat
113,Kabupaten Dairi,12.11,Sumatera Utara
114,Kabupaten Deiyai,94.08,Papua Tengah
115,Kabupaten Deli Serdang,12.07,Sumatera Utara
116,Kabupaten Demak,33.21,Jawa Tengah
117,Kota Denpasar,51.71,Bali
118,Kota Depok,32.76,Jawa Barat
119,Kabupaten Dharmasraya,13.10,Sumatera Barat
120,Kabupaten Dogiyai,94.06,Papua Tengah
121,Kabupaten Dompu,52.05,Nusa Tenggara Barat (NTB)
122,Kabupaten Donggala,72.03,Sulawesi Tengah
123,Kota Dumai,14.72,Riau
124,Kabupaten Empat Lawang,16.11,Sumatera Selatan
125,Kabupaten Ende,53.08,Nusa Tenggara Timur (NTT)
126,Kabupaten Enrekang,73.16,Sulawesi Selatan
127,Kabupaten Fak Fak,92.03,Papua Barat
128,Kabupaten Flores Timur,53.06,Nusa Tenggara Timur (NTT)
129,Kabupaten Garut,32.05,Jawa Barat
130,Kabupaten Gayo Lues,11.13,Aceh (NAD)
131,Kabupaten Gianyar,51.04,Bali
132,Kabupaten Gorontalo,75.01,Gorontalo
133,Kota Gorontalo,75.71,Gorontalo
134,Kabupaten Gorontalo Utara,75.05,Gorontalo
135,Kabupaten Gowa,73.06,Sulawesi Selatan
136,Kabupaten Gresik,35.25,Jawa Timur
137,Kabupaten Grobogan,33.15,Jawa Tengah
138,Kabupaten Gunung Mas,62.10,Kalimantan Tengah
139,Kabupaten Gunungkidul,34.03,DI Yogyakarta
140,Kota Gunungsitoli,12.78,Sumatera Utara
141,Kabupaten Halmahera Barat,82.01,Maluku Utara
142,Kabupaten Halmahera Selatan,82.04,Maluku Utara
143,Kabupaten Halmahera Tengah,82.02,Maluku Utara
144,Kabupaten Halmahera Timur,82.06,Maluku Utara
145,Kabupaten Halmahera Utara,82.03,Maluku Utara
146,Kabupaten Hulu Sungai Selatan,63.06,Kalimantan Selatan
147,Kabupaten Hulu Sungai Tengah,63.07,Kalimantan Selatan
148,Kabupaten Hulu Sungai Utara,63.08,Kalimantan Selatan
149,Kabupaten Humbang Hasundutan,12.16,Sumatera Utara
150,Kabupaten Indragiri Hilir,14.04,Riau
151,Kabupaten Indragiri Hulu,14.02,Riau
152,Kabupaten Indramayu,32.12,Jawa Barat
153,Kabupaten Intan Jaya,94.07,Papua Tengah
154,Kota Jakarta Barat,31.73,DKI Jakarta
155,Kota Jakarta Pusat,31.71,DKI Jakarta
156,Kota Jakarta Selatan,31.74,DKI Jakarta
157,Kota Jakarta Timur,31.75,DKI Jakarta
158,Kota Jakarta Utara,31.72,DKI Jakarta
159,Kota Jambi,15.71,Jambi
160,Kabupaten Jayapura,91.03,Papua
161,Kota Jayapura,91.71,Papua
162,Kabupaten Jayawijaya,95.01,Papua Pegunungan
163,Kabupaten Jember,35.09,Jawa Timur
164,Kabupaten Jembrana,51.01,Bali
165,Kabupaten Jeneponto,73.04,Sulawesi Selatan
166,Kabupaten Jepara,33.20,Jawa Tengah
167,Kabupaten Jombang,35.17,Jawa Timur
168,Kabupaten Kaimana,92.08,Papua Barat
169,Kabupaten Kampar,14.01,Riau
170,Kabupaten Kapuas,62.03,Kalimantan Tengah
171,Kabupaten Kapuas Hulu,61.06,Kalimantan Barat
172,Kabupaten Karanganyar,33.13,Jawa Tengah
173,Kabupaten Karangasem,51.07,Bali
174,Kabupaten Karawang,32.15,Jawa Barat
175,Kabupaten Karimun,21.02,Kepulauan Riau
176,Kabupaten Karo,12.06,Sumatera Utara
177,Kabupaten Katingan,62.06,Kalimantan Tengah
178,Kabupaten Kaur,17.04,Bengkulu
179,Kabupaten Kayong Utara,61.11,Kalimantan Barat
180,Kabupaten Kebumen,33.05,Jawa Tengah
181,Kabupaten Kediri,35.06,Jawa Timur
182,Kota Kediri,35.71,Jawa Timur
183,Kabupaten Keerom,91.11,Papua
184,Kabupaten Kendal,33.24,Jawa Tengah
185,Kota Kendari,74.71,Sulawesi Tenggara
186,Kabupaten Kepahiang,17.08,Bengkulu
187,Kabupaten Kepulauan Anambas,21.05,Kepulauan Riau
188,Kabupaten Kepulauan Aru,81.07,Maluku
189,Kabupaten Kepulauan Mentawai,13.09,Sumatera Barat
190,Kabupaten Kepulauan Meranti,14.10,Riau
191,Kabupaten Kepulauan Sangihe,71.03,Sulawesi Utara
192,Kabupaten Kepulauan Selayar,73.01,Sulawesi Selatan
193,Kabupaten Kepulauan Seribu,31.01,DKI Jakarta
194,Kabupaten Kepulauan Siau Tagulandang Biaro (Sitaro),71.09,Sulawesi Utara
195,Kabupaten Kepulauan Sula,82.05,Maluku Utara
196,Kabupaten Kepulauan Talaud,71.04,Sulawesi Utara
197,Kabupaten Kepulauan Tanimbar (Maluku Tenggara Barat),81.03,Maluku
198,Kabupaten Kepulauan Yapen,91.05,Papua
199,Kabupaten Kerinci,15.01,Jambi
200,Kabupaten Ketapang,61.04,Kalimantan Barat
201,Kabupaten Klaten,33.10,Jawa Tengah
202,Kabupaten Klungkung,51.05,Bali
203,Kabupaten Kolaka,74.01,Sulawesi Tenggara
